State,County,Population,% rural,FIPS,% Children in Poverty,% Unemployed,Income Ratio,% Children in Single-Parent Households,Violent Crime Rate,Injury Death Rate,Years of Potential Life Lost Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation Index,% Homeowners,% Completed High School,% Some College
Texas,Hopkins,37170,59.62572168,48223,18.9,5.11896591,4.2020509978,21.002333593,146.7453,88.606218743,9177.0,53634.0,60.256965497,30.727910724,69.165310049,84.864821045,57.224891597
Texas,Houston,22835,73.487274566,48225,27.7,5.28471528,4.6158201499,35.409536847,213.53409941,82.79083549,10096.0,45989.0,69.972451791,38.142629685,70.403206218,81.198764405,46.987305561
Texas,Howard,36540,20.064549297,48227,17.8,8.09509702,4.2643986392,31.570996979,607.39104671,94.840771664,10285.0,58445.0,52.832428765,29.557792759,66.373084376,80.117903577,44.33038237
Texas,Hunt,99807,56.631332072,48231,17.6,6.54392498,4.6169688362,23.613416019,365.20045447,78.404621921,9062.0,53760.0,58.014697439,36.900641159,69.523157519,85.564804179,53.77619955
Texas,Hutchinson,20677,22.564334086,48233,15.4,7.17882656,4.5563344807,22.930416745,482.77596178,87.985695229,11054.0,62536.0,51.694708608,41.253596091,79.983036472,86.155499821,60.222052067
Texas,Jack,9056,53.217602831,48237,18.4,7.0144415,5.63034497,28.586839266,218.72020638,112.58725512,9055.0,56028.0,65.278628291,27.581119623,77.469233197,81.13850146,42.910140148
Texas,Jackson,14854,61.818827709,48239,17.5,5.75794788,4.4859152116,21.507936508,208.34733517,74.161969742,9305.0,56101.0,54.262144821,25.781671229,70.450852965,81.431879972,50.621820237
Texas,Jasper,35375,78.185382246,48241,24.9,11.20080727,4.9536289272,32.175761871,339.83991012,94.951821783,11257.0,51153.0,62.576687117,55.451495078,76.109289617,84.998973095,40.391298751
Texas,Jefferson,250127,8.4020089348,48245,25.9,11.90431093,5.1427389124,34.856131178,707.34664315,75.80831304,9930.0,48808.0,66.204902868,48.864128424,61.544270944,83.944264535,52.638831077
Texas,Jim Hogg,5184,17.396226415,48247,30.5,9.51877314,5.3640415102,38.740245262,76.643035064,57.736720554,10626.0,41620.0,84.995663487,9.3138949177,71.326860841,74.540311174,32.577132486
Texas,Jim Wells,40452,40.085214751,48249,32.9,12.98443604,5.6812347865,39.04067469,583.36560806,64.77701005,11290.0,48773.0,77.417342483,25.069923822,70.968740328,78.166479625,46.018893387
